name	country	lat	lon	timezone
Isidro Casanova	AR	-34.7	-58.58745	America/Argentina/Buenos_Aires
Hurlingham	AR	-34.5904	-58.62904	America/Argentina/Buenos_Aires
Gualeguaychú	AR	-33.00777	-58.51836	America/Argentina/Cordoba
Gualeguay	AR	-33.14091	-59.31257	America/Argentina/Cordoba
Goya	AR	-29.13995	-59.26343	America/Argentina/Cordoba
Gobernador Virasora	AR	-28.05	-56.03333	America/Argentina/Cordoba
General Pacheco	AR	-34.45256	-58.64312	America/Argentina/Buenos_Aires
General Juan Madariaga	AR	-37.00196	-57.13584	America/Argentina/Buenos_Aires
General José de San Martín	AR	-26.53643	-59.34138	America/Argentina/Cordoba
General Belgrano	AR	-35.76842	-58.49444	America/Argentina/Buenos_Aires
Garupá	AR	-27.48315	-55.82924	America/Argentina/Cordoba
Formosa	AR	-26.18489	-58.17313	America/Argentina/Cordoba
Fontana	AR	-27.42039	-59.03731	America/Argentina/Cordoba
Federal	AR	-30.95619	-58.7797	America/Argentina/Cordoba
Ezeiza	AR	-34.8544	-58.52474	America/Argentina/Buenos_Aires
Esquina	AR	-30.01476	-59.5289	America/Argentina/Cordoba
Ensenada	AR	-34.86074	-57.91238	America/Argentina/Buenos_Aires
El Soberbio	AR	-27.29662	-54.19811	America/Argentina/Cordoba
El Palomar	AR	-34.61771	-58.60153	America/Argentina/Buenos_Aires
Eldorado	AR	-26.40453	-54.61847	America/Argentina/Cordoba
Don Torcuato	AR	-34.49459	-58.62729	America/Argentina/Buenos_Aires
Dolores	AR	-36.31539	-57.67546	America/Argentina/Buenos_Aires
Curuzú Cuatiá	AR	-29.79145	-58.0499	America/Argentina/Cordoba
Corrientes	AR	-27.46784	-58.8344	America/Argentina/Cordoba
Concordia	AR	-31.39195	-58.01706	America/Argentina/Cordoba
Concepción del Uruguay	AR	-32.48463	-58.23217	America/Argentina/Cordoba
Colón	AR	-32.22312	-58.14426	America/Argentina/Cordoba
Colegiales	AR	-34.57365	-58.44924	America/Argentina/Buenos_Aires
Chascomús	AR	-35.57681	-58.01215	America/Argentina/Buenos_Aires
Chajarí	AR	-30.75482	-57.98196	America/Argentina/Cordoba
Castelar	AR	-34.65142	-58.64074	America/Argentina/Buenos_Aires
Carmen de Areco	AR	-34.3766	-59.82272	America/Argentina/Buenos_Aires
Cañuelas	AR	-35.05379	-58.76205	America/Argentina/Buenos_Aires
Campana	AR	-34.16327	-58.95919	America/Argentina/Buenos_Aires
Burzaco	AR	-34.82584	-58.39502	America/Argentina/Buenos_Aires
Buenos Aires	AR	-34.61315	-58.37723	America/Argentina/Buenos_Aires
Coronel Brandsen	AR	-35.16799	-58.23742	America/Argentina/Buenos_Aires
Boedo	AR	-34.63333	-58.41667	America/Argentina/Buenos_Aires
Berisso	AR	-34.8715	-57.88328	America/Argentina/Buenos_Aires
